Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media
2024-01-01,35.6,1094.3857142857144,21.995833333333334,26.7,19.4,18.666666666666668,82.54166666666667,6.2,1.6583333333333332
2024-01-02,23.2,1171.95,21.1875,26.6,19.3,19.570833333333333,91.0,6.7,1.7874999999999999
2024-01-03,48.800000000000004,724.3214285714286,20.537499999999998,23.4,19.1,19.370833333333334,93.375,8.2,2.25
2024-01-04,7.6,590.8933333333333,20.375,23.3,19.3,19.491666666666667,94.75,8.4,2.529166666666667
2024-01-05,2.4,833.6071428571429,20.400000000000002,23.2,18.9,19.004166666666666,92.125,11.1,2.5458333333333334
2024-01-06,0.0,1276.3071428571427,21.979166666666668,28.1,18.7,19.104166666666668,84.91666666666667,9.0,1.9583333333333333
2024-01-07,51.60000000000001,1493.1785714285713,21.9875,29.3,17.7,18.45,82.5,9.9,1.5166666666666666
2024-01-08,2.4,1154.5857142857142,21.458333333333332,26.5,19.4,19.337500000000002,88.375,7.7,1.9833333333333334
2024-01-09,12.799999999999999,1457.55,21.575,26.9,19.4,18.504166666666666,83.45833333333333,9.5,2.4208333333333334
2024-01-10,15.6,864.3923076923077,20.620833333333334,26.0,18.6,18.966666666666665,90.625,10.5,1.7833333333333332
2024-01-11,1.0,1232.6214285714286,21.3,27.3,17.7,18.645833333333332,85.875,9.7,1.2125000000000001
2024-01-12,0.0,1844.3285714285714,22.995833333333334,30.3,16.3,17.691666666666666,74.29166666666667,10.1,1.5875000000000001
2024-01-13,18.2,1589.276923076923,22.679166666666664,27.9,19.6,18.954166666666666,80.83333333333333,6.4,1.9208333333333334
2024-01-14,11.4,1374.6846153846154,22.037499999999998,28.3,19.6,19.333333333333332,85.5,8.2,1.8625
2024-01-15,0.2,1175.7307692307693,21.491666666666664,27.5,18.2,18.333333333333332,83.66666666666667,7.4,1.1583333333333334
2024-01-16,2.8000000000000003,1975.4615384615386,22.579166666666666,29.7,17.0,18.070833333333333,77.95833333333333,8.5,1.5458333333333334
2024-01-17,0.0,2349.015384615385,24.53333333333333,30.8,18.2,16.833333333333332,66.04166666666667,8.6,1.7249999999999999
2024-01-18,0.0,1622.1999999999998,23.991666666666664,31.2,19.0,17.883333333333333,70.83333333333333,6.4,1.3958333333333333
2024-01-19,0.0,1798.9384615384615,23.866666666666664,31.6,17.6,17.583333333333332,71.75,6.6,1.1541666666666666
2024-01-20,0.0,2040.9846153846154,24.508333333333336,31.7,18.6,16.733333333333334,65.625,9.7,1.7708333333333333
2024-01-21,7.0,1635.5307692307692,23.787499999999998,31.0,19.0,18.2,73.16666666666667,12.7,2.0500000000000003
2024-01-22,0.4,1389.569230769231,22.537499999999998,29.2,19.6,19.208333333333332,82.45833333333333,9.8,1.9916666666666665
2024-01-23,0.0,1621.4384615384615,22.479166666666668,28.3,19.3,18.929166666666667,81.33333333333333,9.9,2.470833333333333
2024-01-24,4.4,1297.5153846153846,22.004166666666666,26.7,20.0,19.7,87.25,10.5,2.9333333333333336
2024-01-25,2.6000000000000005,1190.6153846153845,22.587500000000002,27.6,19.8,19.558333333333334,84.16666666666667,6.5,1.6333333333333335
2024-01-26,43.2,665.9923076923077,20.9375,25.1,19.0,19.383333333333333,91.25,7.8,1.2833333333333334
2024-01-27,9.799999999999999,1471.9615384615386,21.479166666666668,27.2,18.2,18.6125,85.0,6.8,1.3541666666666667
2024-01-28,1.4,1342.6499999999999,21.833333333333332,26.4,19.4,19.433333333333334,87.08333333333333,8.3,2.5166666666666666
2024-01-29,0.0,1070.0538461538463,22.22083333333333,26.7,19.5,18.587500000000002,81.04166666666667,7.8,2.341666666666667
2024-01-30,15.2,1555.1357142857144,22.754166666666666,27.9,18.4,18.758333333333333,80.125,8.1,1.575
2024-01-31,2.0,911.3923076923077,21.429166666666664,26.8,17.3,18.758333333333333,85.45833333333333,8.3,1.8875000000000002
2024-02-01,2.8,1348.5,21.891666666666666,27.9,18.3,17.849999999999998,80.08333333333333,6.5,2.033333333333333
2024-02-02,0.2,1674.353846153846,22.09166666666667,27.9,18.3,17.504166666666666,76.95833333333333,8.3,2.2291666666666665
2024-02-03,0.0,1236.7692307692307,21.929166666666664,26.0,19.3,17.279166666666665,74.91666666666667,9.2,2.6875
2024-02-04,0.0,1246.8384615384616,22.395833333333332,27.1,18.3,16.770833333333332,71.08333333333333,6.9,1.9625000000000001
2024-02-05,0.6,841.9692307692308,22.020833333333332,26.5,19.7,18.570833333333333,81.45833333333333,8.3,1.8083333333333333
2024-02-06,0.2,1290.3692307692306,21.34166666666667,27.8,18.2,18.275000000000002,83.75,8.8,1.5250000000000001
2024-02-07,0.0,1442.3769230769233,22.65833333333333,28.2,18.9,18.508333333333333,78.75,9.4,1.5708333333333335
2024-02-08,10.2,1221.5846153846155,22.133333333333336,27.5,18.8,18.895833333333332,83.08333333333333,6.6,1.6916666666666667
2024-02-09,13.4,1060.992857142857,22.34583333333333,27.6,18.5,19.616666666666667,85.25,17.0,1.4791666666666667
2024-02-10,13.4,878.7923076923078,20.620833333333334,24.1,18.5,19.191666666666666,91.79166666666667,8.9,2.1416666666666666
2024-02-11,16.6,568.5692307692308,19.370833333333334,22.1,18.4,18.570833333333333,95.125,11.6,2.4458333333333333
2024-02-12,1.2000000000000002,1981.7384615384617,21.8125,27.4,17.9,18.129166666666666,81.20833333333333,9.2,2.5416666666666665
2024-02-13,0.0,2264.5923076923077,23.866666666666664,29.3,19.7,16.058333333333334,64.125,7.7,3.0541666666666667
