"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","1985_2023","2024"
"1. Floresta","81454.23294496111","93325.17090811711","95421.36905098472","108701.15964368297","109204.41598656896","107704.71032819903","108626.2560674328","108866.32087832136","116659.94091106024","125194.68902357442","125217.5180829346","125664.9543169118","127258.98919756968","130570.41916693363","130315.02376752983","131627.31267828387","131670.54977602456","132214.5598902753","131939.50527746213","133340.6247887097","134037.28505940395","134020.70506598247","136335.81004761075","136664.360310613","138075.68269216205","143075.6689866018","147889.7032733796","150286.00014060122","149815.01770038187","149538.68715409166","148763.44432227558","148009.43791781302","148561.9662197831","148033.20624656102","147693.32526060936","147039.13760875678","147572.6879825129","148317.4899954616","148252.67898233412","148719.7928391903"
"1.1. Formação Florestal","1899.9455017333948","2363.076064160151","2382.4087378967256","3145.5096253478914","3192.2233655151185","3086.334409259016","3098.1066861450026","3208.7664643005205","3491.307045593242","3997.5629834533484","4132.2205458251765","4247.411860601787","4392.181542059307","5215.515099682599","5455.891728820775","6150.874324005128","6211.257304730237","6375.473786700445","6536.688627819855","6867.1496110473845","7041.128129907262","7082.508606085219","7566.670124169933","7745.010533276387","7866.429453491197","8608.437657806471","9505.85506823741","9837.701618536476","9909.243933575528","10219.897154864528","10417.233540655558","10542.891377160691","11214.242916223146","11333.691232995625","11558.780977380247","11553.844486962727","11653.927067688108","11551.404269671655","11374.406079150394","11492.148003545957"
"1.2. Formação Savânica","79554.28744322772","90962.09484395696","93038.960313088","105555.65001833507","106012.19262105384","104618.37591894002","105528.14938128779","105657.55441402084","113168.633865467","121197.12604012107","121085.29753710944","121417.54245631001","122866.80765551038","125354.90406725103","124859.13203870905","125476.43835427874","125459.29247129433","125839.08610357485","125402.81664964228","126473.47517766232","126996.15692949668","126938.19645989724","128769.13992344083","128919.34977733661","130209.25323867085","134467.23132879534","138383.8482051422","140448.29852206475","139905.77376680635","139318.78999922713","138346.21078162003","137466.5465406523","137347.72330355993","136699.5150135654","136134.5442832291","135485.29312179403","135918.7609148248","136766.08572578995","136878.27290318374","137227.64483564434"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","8452.255032763558","8590.50516618041","8201.513962487734","9770.017231677119","9475.815016876084","10060.196929296711","10843.798414697092","11410.109859973036","13377.94032332758","14209.864651483098","14411.630940155008","14877.217792693946","15709.412523016279","16358.799863275102","16992.355437835515","17894.333191485606","18612.37916025374","18864.07099187008","18597.613586755044","18429.887838500814","18904.161123778886","19061.88730179413","19384.247067907327","19163.20108737155","19418.934014050144","19648.39427232051","19364.50645667117","19062.41805023792","19659.48739507415","19566.238229430943","19580.6072394285","19728.395395727373","19769.190240716438","19662.618883947605","19531.511215099985","19482.255574615294","19518.910132305693","19772.033329717786","19480.949510131697","19544.214913573975"
"2.1. Campo Alagado e Área Pantanosa","339.88790728759756","365.6417167541504","283.46851027832065","333.84479661865254","291.1424077331548","282.52986489257853","300.5288494995119","321.45132683105453","374.4122664794917","424.5154936767576","436.74639637451173","406.6893026733397","442.32604838867195","467.21618649291986","441.4568032409667","491.7643494018556","560.9104002441409","625.1668762023934","639.3053667907719","665.0636314392092","789.6100375915528","832.2417496093753","874.9455117980958","859.5359566528327","809.3303734069827","812.4383178100588","815.1865482482918","815.0955107666023","857.111620220949","952.2744583557148","1007.3691063171409","1034.2243361633323","1027.6486415466322","1020.8214813537611","1021.9249932739276","1043.6166093505863","1082.7167405578616","1097.599307312011","1063.1212279663087","1069.6677502746581"
"2.2. Formação Campestre","8112.367125475961","8224.863449426259","7918.045452209413","9436.172435058466","9184.67260914293","9777.667064404133","10543.269565197581","11088.658533141981","13003.528056848088","13785.34915780634","13974.884543780496","14470.528490020606","15267.086474627607","15891.583676782182","16550.89863459455","17402.56884208375","18051.468760009597","18238.904115667687","17958.30821996427","17764.824207061603","18114.551086187334","18229.645552184753","18509.301556109232","18303.66513071872","18609.603640643163","18835.955954510453","18549.319908422876","18247.32253947132","18802.3757748532","18613.96377107523","18573.238133111357","18694.17105956404","18741.541599169806","18641.797402593846","18509.58622182606","18438.63896526471","18436.19339174783","18674.434022405774","18417.82828216539","18474.547163299318"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
