id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 29968760 ,67638bd3-5abb-11e8-911c-28924ad12c5c,  -15.854000 ,  -47.703000 ,2006-04-28 17:12:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30279600 ,677fafec-5abb-11e8-911c-28924ad12c5c,  -15.957000 ,  -47.471000 ,2006-05-23 17:07:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30279596 ,677fafea-5abb-11e8-911c-28924ad12c5c,  -15.644000 ,  -47.877000 ,2006-05-23 17:07:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30422263 ,679793cf-5abb-11e8-911c-28924ad12c5c,  -15.640000 ,  -47.942000 ,2006-06-06 17:19:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30422261 ,679793ce-5abb-11e8-911c-28924ad12c5c,  -15.642000 ,  -47.935000 ,2006-06-06 17:19:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30422251 ,679793c7-5abb-11e8-911c-28924ad12c5c,  -15.845000 ,  -47.823000 ,2006-06-06 17:19:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30485604 ,679bf24c-5abb-11e8-911c-28924ad12c5c,  -15.987000 ,  -48.241000 ,2006-06-12 16:42:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30505082 ,679e44f0-5abb-11e8-911c-28924ad12c5c,  -15.818000 ,  -47.604000 ,2006-06-14 16:30:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30546609 ,67a93a85-5abb-11e8-911c-28924ad12c5c,  -15.750000 ,  -47.680000 ,2006-06-17 17:01:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30562025 ,55b61b44-5abb-11e8-911c-28924ad12c5c,  -15.924000 ,  -47.999000 ,2006-06-19 16:49:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30695473 ,244d7676-5abb-11e8-911c-28924ad12c5c,  -15.662000 ,  -47.372000 ,2006-06-29 17:26:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30814118 ,2460600e-5abb-11e8-911c-28924ad12c5c,  -15.821000 ,  -48.077000 ,2006-07-07 16:37:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30849208 ,2466602f-5abb-11e8-911c-28924ad12c5c,  -15.673000 ,  -47.750000 ,2006-07-09 16:25:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30881789 ,246d518d-5abb-11e8-911c-28924ad12c5c,  -15.784000 ,  -48.147000 ,2006-07-11 16:12:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30881785 ,246d5189-5abb-11e8-911c-28924ad12c5c,  -15.788000 ,  -48.192000 ,2006-07-11 16:12:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30881783 ,246d5187-5abb-11e8-911c-28924ad12c5c,  -15.784000 ,  -48.155000 ,2006-07-11 16:12:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30902726 ,24722ec3-5abb-11e8-911c-28924ad12c5c,  -15.935000 ,  -48.001000 ,2006-07-12 16:55:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30902725 ,24722ec2-5abb-11e8-911c-28924ad12c5c,  -15.703000 ,  -47.736000 ,2006-07-12 16:55:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30902680 ,24722ea0-5abb-11e8-911c-28924ad12c5c,  -15.705000 ,  -47.746000 ,2006-07-12 16:55:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30902705 ,24722eb1-5abb-11e8-911c-28924ad12c5c,  -15.574000 ,  -47.921000 ,2006-07-12 16:55:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30939036 ,24757a4b-5abb-11e8-911c-28924ad12c5c,  -15.993000 ,  -48.128000 ,2006-07-14 16:43:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30939022 ,24757a3e-5abb-11e8-911c-28924ad12c5c,  -15.858000 ,  -48.189000 ,2006-07-14 16:43:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30938993 ,24757a3b-5abb-11e8-911c-28924ad12c5c,  -15.863000 ,  -47.670000 ,2006-07-14 16:43:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30938974 ,24757a27-5abb-11e8-911c-28924ad12c5c,  -15.860000 ,  -47.666000 ,2006-07-14 16:43:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30938971 ,24757a24-5abb-11e8-911c-28924ad12c5c,  -15.767000 ,  -47.730000 ,2006-07-14 16:43:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31064080 ,2486eaea-5abb-11e8-911c-28924ad12c5c,  -15.542000 ,  -47.916000 ,2006-07-21 16:50:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31063823 ,2486eaac-5abb-11e8-911c-28924ad12c5c,  -15.737000 ,  -47.671000 ,2006-07-21 16:49:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31063791 ,2486ea9d-5abb-11e8-911c-28924ad12c5c,  -15.752000 ,  -47.915000 ,2006-07-21 16:49:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31063987 ,55b82348-5abb-11e8-911c-28924ad12c5c,  -15.503000 ,  -48.040000 ,2006-07-21 16:50:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31089419 ,55b824de-5abb-11e8-911c-28924ad12c5c,  -15.874000 ,  -47.789000 ,2006-07-22 17:32:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31113655 ,248c1c0b-5abb-11e8-911c-28924ad12c5c,  -15.627000 ,  -47.689000 ,2006-07-23 16:37:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31113630 ,248c1c05-5abb-11e8-911c-28924ad12c5c,  -15.636000 ,  -47.674000 ,2006-07-23 16:37:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31113624 ,248c1bff-5abb-11e8-911c-28924ad12c5c,  -15.769000 ,  -48.020000 ,2006-07-23 16:37:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31113606 ,248c1bfa-5abb-11e8-911c-28924ad12c5c,  -15.625000 ,  -47.676000 ,2006-07-23 16:37:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31113597 ,55b8a1b6-5abb-11e8-911c-28924ad12c5c,  -15.681000 ,  -47.863000 ,2006-07-23 16:37:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30062805 ,6768f460-5abb-11e8-911c-28924ad12c5c,  -15.817000 ,  -47.465000 ,2006-05-04 16:36:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30062794 ,6768f45a-5abb-11e8-911c-28924ad12c5c,  -15.811000 ,  -47.460000 ,2006-05-04 16:36:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30062792 ,6768f459-5abb-11e8-911c-28924ad12c5c,  -15.812000 ,  -47.473000 ,2006-05-04 16:36:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 30092370 ,676b145e-5abb-11e8-911c-28924ad12c5c,  -15.817000 ,  -47.466000 ,2006-05-06 16:24:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31160345 ,24adb8e8-5abb-11e8-911c-28924ad12c5c,  -15.960000 ,  -48.020000 ,2006-07-25 16:25:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31186702 ,24b53975-5abb-11e8-911c-28924ad12c5c,  -15.613000 ,  -48.127000 ,2006-07-26 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31186794 ,55b8a48d-5abb-11e8-911c-28924ad12c5c,  -15.612000 ,  -48.115000 ,2006-07-26 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31186739 ,55b8a47e-5abb-11e8-911c-28924ad12c5c,  -15.765000 ,  -47.790000 ,2006-07-26 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31263180 ,24c0c29e-5abb-11e8-911c-28924ad12c5c,  -15.551000 ,  -47.899000 ,2006-07-30 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31415250 ,55ba45f4-5abb-11e8-911c-28924ad12c5c,  -15.683000 ,  -47.746000 ,2006-08-06 16:50:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31415249 ,55ba45f3-5abb-11e8-911c-28924ad12c5c,  -15.691000 ,  -47.735000 ,2006-08-06 16:50:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31415200 ,55ba45ea-5abb-11e8-911c-28924ad12c5c,  -15.682000 ,  -47.736000 ,2006-08-06 16:50:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31486515 ,24df46e4-5abb-11e8-911c-28924ad12c5c,  -15.723000 ,  -47.660000 ,2006-08-08 16:38:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31486474 ,55bad3a5-5abb-11e8-911c-28924ad12c5c,  -15.614000 ,  -47.695000 ,2006-08-08 16:38:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31486473 ,55bad3a4-5abb-11e8-911c-28924ad12c5c,  -15.742000 ,  -48.160000 ,2006-08-08 16:38:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31521235 ,55bb575f-5abb-11e8-911c-28924ad12c5c,  -15.607000 ,  -47.844000 ,2006-08-09 17:20:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31581194 ,24ef9c60-5abb-11e8-911c-28924ad12c5c,  -15.700000 ,  -47.674000 ,2006-08-11 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31581111 ,24ef9c2f-5abb-11e8-911c-28924ad12c5c,  -15.767000 ,  -48.157000 ,2006-08-11 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31580924 ,24ef9c09-5abb-11e8-911c-28924ad12c5c,  -15.699000 ,  -47.655000 ,2006-08-11 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31581052 ,55bbe49b-5abb-11e8-911c-28924ad12c5c,  -15.698000 ,  -47.661000 ,2006-08-11 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31580977 ,55bbe478-5abb-11e8-911c-28924ad12c5c,  -15.700000 ,  -47.668000 ,2006-08-11 17:08:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31693849 ,24f8f8ea-5abb-11e8-911c-28924ad12c5c,  -15.589000 ,  -47.734000 ,2006-08-15 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31693778 ,24f8f8dc-5abb-11e8-911c-28924ad12c5c,  -15.639000 ,  -47.721000 ,2006-08-15 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31693745 ,24f8f8d0-5abb-11e8-911c-28924ad12c5c,  -15.781000 ,  -48.115000 ,2006-08-15 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31693657 ,24f8f8b8-5abb-11e8-911c-28924ad12c5c,  -15.779000 ,  -48.103000 ,2006-08-15 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
 31693655 ,24f8f8b6-5abb-11e8-911c-28924ad12c5c,  -15.763000 ,  -47.664000 ,2006-08-15 16:44:00,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado
