Model,Accuracy,Precision (fire=1),Recall (fire=1),F1 (fire=1),ROC-AUC,PR-AUC
Logistic + ROS,0.7947761194029851,0.43700787401574803,0.8345864661654135,0.5736434108527132,0.8897056351758681,0.6360333023689093
Logistic (class_weight),0.7966417910447762,0.4393638170974155,0.8308270676691729,0.5747724317295189,0.8903919635153457,0.63579746770658
Logistic + SMOTE,0.7997512437810945,0.444,0.8345864661654135,0.5796344647519582,0.8899297423887588,0.6344641243852908
Logistic + RUS,0.8003731343283582,0.44488977955911824,0.8345864661654135,0.5803921568627451,0.8902883139293838,0.6324180300984481
GradientBoosting + SMOTE,0.8538557213930348,0.547112462006079,0.6766917293233082,0.6050420168067226,0.8870037425904552,0.5767297133124233
