data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,mes,dia_semana
2018-05-03,1,1,0.0,1789.1333333333332,21.629166666666663,27.5,14.8,14.7,66.04166666666667,8.2,2.3583333333333334,,,,,5,3
2018-05-04,0,0,0.0,1683.725,21.6125,26.7,16.5,15.266666666666666,68.375,8.2,2.595833333333333,1.0,1.0,0.0,21.629166666666663,5,4
2018-05-05,0,0,0.0,1785.2833333333335,21.125,26.1,15.5,14.158333333333331,65.75,9.2,2.3875,1.0,1.0,0.0,21.62083333333333,5,5
2018-05-06,0,0,0.0,1771.925,21.008333333333333,25.7,16.6,13.9625,65.25,8.6,2.845833333333333,1.0,1.0,0.0,21.455555555555552,5,6
2018-05-07,0,0,0.0,1763.4833333333331,20.754166666666663,26.1,14.1,13.229166666666666,63.625,7.0,2.4791666666666665,0.0,1.0,0.0,21.34375,5,0
2018-05-08,0,0,0.0,1659.1166666666666,20.4625,25.2,15.9,13.4,65.04166666666667,6.6,2.3666666666666667,0.0,1.0,0.0,21.225833333333334,5,1
2018-05-09,0,0,0.0,1752.1833333333334,19.945833333333333,25.0,15.9,12.35,62.75,8.6,3.016666666666667,0.0,1.0,0.0,21.098611111111108,5,2
2018-05-10,0,0,0.0,1631.9166666666667,19.67391304347826,24.7,15.5,13.534782608695652,69.0,8.8,3.017391304347825,0.0,1.0,0.0,20.93392857142857,5,3
2018-05-11,0,0,0.0,1485.8,19.90833333333333,26.0,12.4,12.4375,64.25,6.2,1.7875,0.0,0.0,0.0,20.654606625258797,5,4
2018-05-12,0,0,0.0,1574.6166666666668,19.979166666666668,26.9,13.3,11.658333333333331,62.04166666666666,5.4,1.4583333333333333,0.0,0.0,0.0,20.41115424430642,5,5
2018-05-13,0,0,0.0,1747.6916666666666,20.02083333333333,27.4,13.1,10.520833333333334,57.958333333333336,6.2,1.5166666666666666,0.0,0.0,0.0,20.247463768115942,5,6
2018-05-14,0,0,0.0,1716.8916666666669,20.366666666666667,26.8,13.6,11.408333333333331,58.375,8.1,2.1041666666666665,0.0,0.0,0.0,20.10639233954451,5,0
2018-05-15,0,0,0.0,1718.5666666666666,20.758333333333333,26.1,16.5,13.520833333333334,64.375,9.5,2.591666666666667,0.0,0.0,0.0,20.05103519668737,5,1
2018-05-16,0,0,0.0,1391.7583333333334,19.90833333333333,26.9,13.9,12.908333333333331,66.58333333333333,6.4,1.6375,0.0,0.0,0.0,20.093297101449277,5,2
2018-05-17,0,0,0.0,1104.2,19.85833333333333,25.6,14.4,13.75,69.41666666666667,8.0,1.2791666666666666,0.0,0.0,0.0,20.08793995859213,5,3
2018-05-18,0,0,0.0,1372.2833333333335,21.14583333333333,26.5,15.9,14.191666666666668,65.91666666666667,7.3,2.0083333333333333,0.0,0.0,0.0,20.114285714285717,5,4
2018-05-19,0,0,6.6,1024.7333333333331,20.291666666666668,27.2,15.2,14.904166666666669,73.33333333333333,11.9,2.120833333333333,0.0,0.0,0.0,20.291071428571428,5,5
2018-05-20,0,0,3.0,1254.45,17.070833333333333,22.7,14.1,14.058333333333332,83.25,11.2,1.9625,0.0,0.0,6.6,20.335714285714285,5,6
2018-05-21,0,0,0.0,1646.8416666666665,17.308333333333334,26.2,9.3,10.054166666666667,65.125,5.8,1.7583333333333335,0.0,0.0,9.6,19.914285714285715,5,0
2018-05-22,0,0,0.0,1592.0083333333332,18.7125,26.1,11.5,11.325,64.95833333333333,5.9,1.5666666666666669,0.0,0.0,9.6,19.477380952380948,5,1
2018-05-23,0,0,0.0,1523.4083333333335,19.5375,26.2,13.0,11.470833333333331,61.54166666666666,7.5,1.925,0.0,0.0,9.6,19.185119047619047,5,2
2018-05-24,0,0,0.0,1470.7833333333335,20.258333333333333,25.5,15.4,14.729166666666666,71.75,8.4,2.4041666666666663,0.0,0.0,9.6,19.13214285714286,5,3
2018-05-25,0,0,0.0,1155.9666666666665,19.4,24.6,16.2,14.816666666666668,76.08333333333333,8.0,3.154166666666667,0.0,0.0,9.6,19.189285714285713,5,4
2018-05-26,0,0,0.0,1715.8166666666666,18.808333333333334,24.7,14.8,12.895833333333334,70.41666666666667,8.7,3.0666666666666664,0.0,0.0,9.6,18.93988095238095,5,5
2018-05-27,0,0,0.0,1309.975,18.125,23.2,14.3,12.6125,71.08333333333333,9.1,3.15,0.0,0.0,3.0,18.72797619047619,5,6
2018-05-28,0,0,0.0,1509.95,17.579166666666666,22.2,13.8,12.441666666666668,72.83333333333333,8.9,3.208333333333333,0.0,0.0,0.0,18.87857142857143,5,0
2018-05-29,0,0,0.0,1411.8333333333333,17.720833333333335,23.7,13.9,12.404166666666669,72.625,9.0,2.7416666666666667,0.0,0.0,0.0,18.917261904761904,5,1
2018-05-30,0,0,0.0,1506.9166666666667,17.958333333333332,23.6,13.7,11.745833333333332,68.33333333333333,7.4,2.7541666666666664,0.0,0.0,0.0,18.77559523809524,5,2
2018-05-31,0,0,0.0,1572.1583333333335,17.883333333333333,24.6,11.3,10.15,63.083333333333336,6.9,2.095833333333333,0.0,0.0,0.0,18.55,5,3
2018-06-01,0,0,0.0,1402.9583333333333,17.883333333333333,25.2,10.8,10.133333333333333,63.16666666666666,6.2,1.5208333333333333,0.0,0.0,0.0,18.210714285714285,6,4
