data,n_focos,target,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media,focos_ultimos_3d,focos_ultimos_7d,chuva_7d,temp_7d,humidade_7d,mes,dia_semana
2003-01-01,0,0,5.4,1123.0,21.091666666666665,26.0,18.8,18.25,84.5,10.1,2.395833333333333,,,,,,1,2
2003-01-02,0,0,0.6,1652.2142857142858,22.23333333333333,27.2,18.9,18.03333333333333,78.58333333333333,10.9,2.7416666666666667,0.0,0.0,5.4,21.091666666666665,84.5,1,3
2003-01-03,0,0,8.4,1365.2857142857142,21.65833333333333,26.6,18.3,18.266666666666666,81.70833333333333,11.6,3.5625,0.0,0.0,6.0,21.662499999999998,81.54166666666666,1,4
2003-01-04,0,0,25.4,1423.7857142857142,21.35,26.8,17.5,17.716666666666665,81.25,13.9,4.216666666666667,0.0,0.0,14.4,21.661111111111108,81.59722222222221,1,5
2003-01-05,0,0,0.8,1469.8461538461538,21.879166666666663,27.1,17.4,17.162499999999998,75.875,10.8,4.1375,0.0,0.0,39.8,21.583333333333332,81.51041666666666,1,6
2003-01-06,0,0,14.2,1736.5,22.09166666666667,27.8,18.8,18.22083333333333,79.91666666666667,10.8,3.3000000000000003,0.0,0.0,40.599999999999994,21.6425,80.38333333333333,1,0
2003-01-07,0,0,0.2,795.5555555555555,22.930769230769236,27.6,19.6,18.71538461538461,78.15384615384616,10.9,3.376923076923077,0.0,0.0,54.8,21.717361111111114,80.30555555555556,1,1
2003-01-08,0,0,0.6000000000000001,1022.5,22.5875,27.1,19.8,18.979166666666668,81.16666666666667,9.9,1.6083333333333334,0.0,0.0,55.0,21.890705128205127,79.9981684981685,1,2
2003-01-09,0,0,0.6000000000000001,1162.571428571429,22.2875,28.9,18.4,18.70833333333333,81.20833333333333,7.7,1.3791666666666669,0.0,0.0,50.199999999999996,22.104395604395602,79.52197802197803,1,3
2003-01-10,0,0,2.6,1641.428571428571,23.258333333333336,30.0,19.0,18.7875,77.83333333333333,9.7,1.8666666666666665,0.0,0.0,50.199999999999996,22.1121336996337,79.89697802197803,1,4
2003-01-11,0,0,16.6,1295.7692307692307,22.6625,29.1,17.3,18.229166666666668,76.79166666666667,15.1,1.6916666666666669,0.0,0.0,44.4,22.340705128205133,79.3434065934066,1,5
2003-01-12,0,0,0.0,1276.7142857142858,21.84583333333333,27.8,18.9,17.212500000000002,75.95833333333333,7.0,1.8708333333333331,0.0,0.0,35.6,22.528205128205126,78.70650183150182,1,6
2003-01-13,0,0,0.2,1260.7142857142858,22.67083333333333,28.3,18.6,17.779166666666665,74.70833333333333,8.5,1.6583333333333332,0.0,0.0,34.800000000000004,22.523443223443227,78.7184065934066,1,0
2003-01-14,0,0,12.6,1534.6923076923076,22.2125,28.9,18.5,18.258333333333333,79.70833333333333,9.4,1.6083333333333334,0.0,0.0,20.8,22.60618131868132,77.97435897435898,1,1
2003-01-15,0,0,20.0,1029.642857142857,20.633333333333333,25.6,18.7,18.379166666666663,87.45833333333333,10.4,2.408333333333333,0.0,0.0,33.2,22.50357142857143,78.19642857142857,1,2
2003-01-16,0,0,0.6,1554.8461538461538,21.89583333333333,27.5,19.1,18.02083333333333,80.375,8.3,2.833333333333333,0.0,0.0,52.6,22.22440476190476,79.09523809523809,1,3
2003-01-17,0,0,12.4,264.625,19.264285714285712,20.6,17.9,17.70714285714286,90.64285714285714,7.8,2.3428571428571425,0.0,0.0,52.6,22.16845238095238,78.97619047619047,1,4
2003-01-18,0,0,0.6000000000000001,1523.1538461538462,20.966666666666665,26.5,18.1,17.545833333333334,81.79166666666667,9.2,2.3041666666666667,0.0,0.0,62.4,21.597874149659862,80.8061224489796,1,5
2003-01-19,0,0,0.0,1458.0,20.818181818181817,25.5,17.9,17.145454545454545,79.95454545454545,8.6,2.8454545454545457,0.0,0.0,46.4,21.35561224489796,81.5204081632653,1,6
2003-01-20,0,0,4.6,1330.5,21.025,25.9,18.1,18.04,83.5,8.9,2.73,0.0,0.0,46.400000000000006,21.2088048855906,82.09129560915275,1,0
2003-01-21,0,0,32.8,1213.857142857143,20.204166666666666,23.7,18.2,17.966666666666665,87.5,10.4,3.1625,0.0,0.0,50.8,20.97368583797155,83.34724799010515,1,1
2003-01-22,0,0,3.2,1367.071428571429,20.466666666666665,27.0,18.4,17.916666666666668,86.375,10.3,3.1666666666666665,0.0,0.0,71.0,20.686781076066787,84.46034322820037,1,2
2003-01-23,0,0,12.4,1728.3846153846157,21.125,25.9,17.9,17.370833333333334,80.54166666666667,10.9,3.2375000000000003,0.0,0.0,54.199999999999996,20.662971552257265,84.30558132343846,1,3
2003-01-24,0,0,0.0,1745.428571428571,22.9125,28.2,18.9,16.325,69.04166666666667,8.0,2.283333333333333,0.0,0.0,66.0,20.552852504638217,84.32939084724798,1,4
2003-01-25,0,0,0.2,2043.8461538461536,23.754166666666663,29.2,18.5,15.341666666666669,62.083333333333336,7.9,2.220833333333333,0.0,0.0,53.599999999999994,21.07402597402597,81.2435064935065,1,5
2003-01-26,0,0,0.0,1562.076923076923,22.9125,28.3,18.1,16.041666666666668,67.125,6.6,1.5208333333333333,0.0,0.0,53.199999999999996,21.472240259740257,78.4280303030303,1,6
2003-01-27,0,0,0.0,1727.6923076923076,22.97083333333333,28.4,18.5,16.695833333333333,68.54166666666667,11.1,2.845833333333333,0.0,0.0,53.199999999999996,21.771428571428572,76.5952380952381,1,0
2003-01-28,0,0,0.4,1444.5384615384614,21.479166666666668,26.7,18.7,17.570833333333333,79.08333333333333,10.1,3.3208333333333333,0.0,0.0,48.599999999999994,22.04940476190476,74.45833333333334,1,1
2003-01-29,0,0,0.0,1564.3076923076924,21.7875,27.4,18.7,17.491666666666667,77.70833333333333,9.7,3.15,0.0,0.0,16.199999999999996,22.23154761904762,73.2559523809524,1,2
2003-01-30,0,0,19.6,870.1538461538462,20.3625,24.2,16.9,17.729166666666668,85.25,8.3,2.129166666666667,0.0,0.0,12.999999999999995,22.420238095238094,72.01785714285714,1,3
2003-01-31,0,0,2.6,1279.8461538461538,21.0875,26.0,18.1,17.770833333333332,82.16666666666667,10.6,1.8375,0.0,0.0,20.199999999999996,22.311309523809523,72.69047619047619,1,4
2003-02-01,0,0,0.0,1923.5384615384612,22.52916666666667,27.2,19.2,15.958333333333334,67.75,10.8,3.654166666666667,0.0,0.0,22.799999999999997,22.05059523809524,74.56547619047618,2,5
2003-02-02,0,0,9.0,1733.6923076923076,21.65416666666667,27.2,18.5,15.908333333333331,70.45833333333333,15.1,3.3208333333333333,0.0,0.0,22.599999999999998,21.87559523809524,75.375,2,6
2003-02-03,0,0,0.2,2006.4615384615383,20.8875,27.3,15.7,15.920833333333334,74.20833333333333,11.6,3.0666666666666664,0.0,0.0,31.599999999999994,21.695833333333333,75.85119047619048,2,0
2003-02-04,0,0,0.0,2223.538461538461,22.875,28.1,18.7,16.791666666666668,70.5,8.3,3.341666666666667,0.0,0.0,31.799999999999997,21.398214285714285,76.66071428571429,2,1
2003-02-05,0,0,0.0,1863.1538461538464,23.558333333333334,28.6,18.6,16.566666666666666,65.75,7.8,2.6750000000000003,0.0,0.0,31.399999999999995,21.597619047619048,75.43452380952381,2,2
2003-02-06,0,0,1.2,1739.3846153846157,23.40833333333333,29.0,20.0,17.345833333333335,69.91666666666667,9.4,2.5416666666666665,0.0,0.0,31.399999999999995,21.85059523809524,73.72619047619048,2,3
2003-02-07,0,0,7.6,1517.923076923077,22.383333333333336,28.6,18.6,17.516666666666666,75.20833333333333,8.0,1.9125,0.0,0.0,12.999999999999993,22.285714285714285,71.53571428571429,2,4
2003-02-08,0,0,0.6000000000000001,1886.076923076923,22.758333333333336,28.3,18.6,17.1375,72.75,9.8,2.404166666666667,0.0,0.0,17.999999999999993,22.47083333333333,70.54166666666666,2,5
2003-02-09,0,0,0.0,2185.0,23.608695652173918,28.9,18.4,15.891304347826088,63.34782608695652,8.8,2.856521739130435,0.0,0.0,18.599999999999994,22.50357142857143,71.25595238095238,2,6
2003-02-10,1,1,0.0,906.6,22.666666666666668,28.1,18.0,15.391666666666666,66.33333333333333,6.4,1.6916666666666669,0.0,0.0,9.599999999999993,22.782789855072462,70.24016563146998,2,0
2003-02-11,0,0,0.0,2245.769230769231,23.4375,29.7,16.3,13.004166666666668,54.54166666666666,6.9,1.8208333333333333,1.0,1.0,9.399999999999993,23.036956521739132,69.11516563146998,2,1
2003-02-12,0,0,0.6000000000000001,1404.7692307692307,22.1625,29.3,17.6,15.85,68.70833333333333,10.9,1.7916666666666667,1.0,1.0,9.399999999999993,23.117313664596274,66.83540372670807,2,2
2003-02-13,0,0,0.0,1271.8461538461538,22.025,27.6,17.7,15.9625,69.66666666666667,7.7,1.8333333333333333,1.0,1.0,9.999999999999993,22.917908902691515,67.25802277432713,2,3
2003-02-14,0,0,2.6,1355.2307692307693,21.9625,27.7,18.9,16.783333333333335,73.625,9.7,2.7375000000000003,0.0,1.0,8.799999999999994,22.720289855072462,67.22230848861284,2,4
2003-02-15,0,0,35.6,1300.6153846153843,19.554166666666667,24.3,17.7,17.466666666666665,88.08333333333333,8.8,2.8666666666666667,0.0,1.0,3.799999999999993,22.66017080745342,66.99611801242236,2,5
2003-02-16,0,0,17.0,1392.923076923077,19.9625,25.6,17.5,17.204166666666666,85.08333333333333,8.3,2.3541666666666665,0.0,1.0,38.8,22.20243271221532,69.18659420289855,2,6
2003-02-17,0,0,42.2,1499.571428571429,21.120833333333334,26.4,17.9,17.4875,81.04166666666667,10.9,3.15,0.0,1.0,55.8,21.68154761904762,72.29166666666666,2,0
2003-02-18,0,0,2.6,1519.3076923076924,21.5125,27.3,18.5,17.8,80.375,10.6,2.6875,0.0,0.0,98.0,21.46071428571429,74.39285714285714,2,1
2003-02-19,0,0,0.6000000000000001,1818.3846153846157,21.77916666666667,27.2,18.4,17.741666666666667,78.75,10.4,2.6041666666666665,0.0,0.0,100.6,21.185714285714283,78.08333333333334,2,2
2003-02-20,0,0,0.2,1086.3333333333333,21.330434782608695,27.2,18.6,17.817391304347826,81.3913043478261,9.8,1.4,0.0,0.0,100.60000000000001,21.13095238095238,79.51785714285714,2,3
2003-02-21,0,0,10.6,1575.6153846153843,20.8,28.4,18.1,17.358333333333334,82.125,7.4,1.4625,0.0,0.0,100.80000000000001,21.031728778467908,81.19280538302279,2,4
2003-02-22,0,0,0.0,2088.769230769231,22.03333333333333,28.1,16.9,17.004166666666666,75.41666666666667,8.8,2.058333333333333,0.0,0.0,108.8,20.86565734989648,82.4070910973085,2,5
2003-02-23,0,0,1.7999999999999998,969.7692307692308,20.8,25.4,17.6,17.037499999999998,79.875,9.5,2.5125,0.0,0.0,73.19999999999999,21.219824016563145,80.59756728778468,2,6
2003-02-24,0,0,0.0,2090.3846153846152,22.558333333333334,27.3,19.1,16.083333333333332,67.91666666666667,9.5,3.158333333333333,0.0,0.0,57.99999999999999,21.339466873706005,79.85351966873706,2,0
2003-02-25,0,0,0.0,1862.5384615384612,22.78333333333333,28.1,18.0,16.541666666666668,69.58333333333333,9.6,2.583333333333333,0.0,0.0,15.799999999999994,21.544824016563147,77.97851966873705,2,1
2003-02-26,0,0,0.0,2055.153846153846,23.6,28.9,18.2,15.108333333333334,61.0,7.8,2.4375,0.0,0.0,13.199999999999992,21.726371635610768,76.4368530020704,2,2
2003-02-27,0,0,0.0,2233.583333333333,24.122727272727275,30.0,19.0,15.481818181818182,59.40909090909091,7.9,2.618181818181818,0.0,0.0,12.59999999999999,21.986490683229814,73.9011387163561,2,3
2003-02-28,0,0,0.0,122.6,22.542857142857144,23.6,21.6,16.742857142857144,70.14285714285714,2.3,2.6,0.0,0.0,12.399999999999991,22.38538961038961,70.76082251082252,2,4
2003-03-01,0,0,0.0,,,,,,,,,0.0,0.0,1.7999999999999927,22.634369202226345,69.04908781694496,3,5
2003-03-02,0,0,0.0,,,,,,,,,0.0,0.0,1.7999999999999927,22.73454184704185,67.98782467532467,3,6
2003-03-03,0,0,0.0,,,,,,,,,0.0,0.0,0.0,23.121450216450217,65.6103896103896,3,0
2003-03-04,0,0,0.0,,,,,,,,,0.0,0.0,0.0,23.26222943722944,65.03382034632034,3,1
2003-03-05,0,0,0.0,230.0,25.2,27.9,23.3,16.375,58.5,6.2,2.625,0.0,0.0,0.0,23.421861471861476,63.51731601731601,3,2
