Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,humidade_media,vento_rajada_max,vento_vel_media
2025-01-01,0.0,870.9642857142857,21.150000000000002,24.8,18.8,87.41666666666667,9.7,1.6583333333333332
2025-01-02,0.0,1523.8307692307692,22.304166666666664,28.2,18.8,76.625,8.3,2.1458333333333335
2025-01-03,0.0,1853.8,22.900000000000002,29.4,18.0,73.83333333333333,8.1,2.025
2025-01-04,0.0,1436.5307692307692,23.34583333333333,30.1,19.6,71.16666666666667,8.6,1.6624999999999999
2025-01-05,1.6,1021.907142857143,21.9375,28.9,18.3,82.5,8.4,1.6958333333333335
2025-01-06,7.0,1214.0714285714287,21.279166666666665,25.0,18.8,86.125,9.5,2.1750000000000003
2025-01-07,0.0,1369.4357142857145,22.754166666666666,28.1,19.3,78.75,8.3,2.341666666666667
2025-01-08,2.8,1044.7769230769231,21.820833333333336,26.3,19.2,82.54166666666667,11.0,2.4250000000000003
2025-01-09,25.6,891.2153846153846,19.641666666666666,23.1,18.4,92.83333333333333,9.5,3.033333333333333
2025-01-10,17.0,1425.323076923077,20.3875,25.3,18.4,90.54166666666667,9.0,2.245833333333333
2025-01-11,0.8,1657.2285714285715,22.583333333333332,29.1,18.7,81.0,6.5,2.0333333333333337
2025-01-12,22.0,1137.8076923076924,21.65416666666667,29.0,18.0,86.16666666666667,8.4,1.8875
2025-01-13,9.4,934.4285714285714,20.633333333333333,25.9,18.4,92.16666666666667,7.4,1.8291666666666666
2025-01-14,17.6,977.2714285714285,20.0,24.3,18.3,93.375,10.5,2.183333333333333
2025-01-15,3.4,1648.3000000000002,20.6375,25.5,18.5,88.45833333333333,11.9,2.9125
2025-01-16,11.2,789.1785714285714,19.875,23.9,18.9,94.125,11.0,3.4375
2025-01-17,10.0,1326.314285714286,21.033333333333335,25.9,18.4,87.41666666666667,10.5,3.1041666666666665
2025-01-18,6.8,1839.4071428571428,22.708333333333332,28.8,18.1,74.79166666666667,9.7,1.8041666666666665
2025-01-19,15.2,1602.6999999999998,21.175,28.5,17.3,80.75,9.4,1.6666666666666667
2025-01-20,12.8,1817.6,20.900000000000002,28.8,16.5,82.375,7.2,1.4875
2025-01-21,18.599999999999998,1308.0083333333334,20.656521739130437,27.8,17.2,87.0,7.8,1.3043478260869565
2025-01-22,0.0,1831.0214285714287,23.400000000000002,29.8,18.3,75.95833333333333,6.3,1.575
2025-01-23,6.8,1837.38,22.833333333333332,29.1,16.3,68.125,12.8,2.3666666666666667
