Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,temp_orvalho_media,humidade_media,vento_rajada_max,vento_vel_media
2008-12-04,6.0,1495.3285714285714,21.2625,26.5,17.7,16.033333333333335,73.58333333333333,6.3,1.875
2008-12-05,0.6000000000000001,1112.5285714285715,21.3875,25.5,17.7,17.366666666666667,79.0,4.4,1.4583333333333333
2008-12-06,0.8,1527.05,22.53333333333333,28.3,18.3,17.05,72.95833333333333,7.9,1.9833333333333334
2008-12-07,0.6000000000000001,861.5285714285714,21.220833333333335,25.3,17.9,17.608333333333334,80.75,6.7,2.120833333333333
2008-12-08,0.0,1164.107142857143,21.333333333333332,26.0,18.0,17.695833333333333,80.54166666666667,8.0,2.5708333333333333
2008-12-09,0.0,2022.8500000000001,23.379166666666666,29.1,18.4,16.883333333333333,69.625,7.5,2.404166666666667
2008-12-10,0.0,1946.064285714286,24.28333333333333,29.2,18.7,15.733333333333334,60.291666666666664,7.0,2.183333333333333
2008-12-11,25.2,1056.05,20.741666666666667,25.7,18.0,17.329166666666666,81.70833333333333,9.4,1.8833333333333335
2008-12-12,0.0,1632.2642857142857,22.474999999999998,28.3,17.1,16.520833333333332,70.5,7.7,1.6416666666666666
2008-12-13,1.4000000000000001,590.6857142857143,21.070833333333333,23.5,19.2,18.099999999999998,83.29166666666667,7.2,1.3375000000000001
2008-12-14,0.4,1156.0714285714287,21.34583333333333,25.7,18.8,17.404166666666665,79.41666666666667,5.6,1.8708333333333333
2008-12-15,7.3999999999999995,976.4142857142857,20.616666666666667,27.1,18.0,17.366666666666667,82.125,15.7,2.4208333333333334
2008-12-16,16.2,439.60714285714283,18.787499999999998,20.6,17.9,17.391666666666666,91.625,10.6,3.6
2008-12-17,23.400000000000002,600.6142857142858,18.904166666666665,21.0,17.7,17.766666666666666,93.125,12.8,3.725
2008-12-18,3.8,781.9,19.625,24.2,17.7,17.8625,89.95833333333333,7.6,2.4625
2008-12-19,10.2,820.3357142857143,20.091666666666665,24.1,17.5,17.404166666666665,85.08333333333333,5.0,1.3333333333333333
2008-12-20,4.6,557.0571428571428,19.183333333333334,22.8,17.7,17.245833333333334,88.70833333333333,7.7,1.375
2008-12-21,41.2,778.2285714285715,19.0375,25.0,16.8,16.441666666666666,85.33333333333333,12.8,1.0875000000000001
2008-12-22,14.8,1124.4785714285715,19.629166666666666,26.3,16.9,16.720833333333335,84.45833333333333,8.2,1.6583333333333332
2008-12-23,34.4,1175.857142857143,19.533333333333335,23.7,16.7,17.3,87.5,9.1,2.6666666666666665
2008-12-24,1.2,1242.3999999999999,20.641666666666666,26.8,17.6,17.633333333333333,84.04166666666667,9.9,1.9333333333333333
2008-12-25,2.4000000000000004,1414.9142857142856,20.795833333333334,26.0,17.7,17.458333333333332,82.125,11.1,3.5083333333333333
2008-12-26,5.6,1218.7857142857142,20.558333333333334,25.4,18.4,17.995833333333334,85.79166666666667,12.7,3.6625
2008-12-27,2.8,1057.1357142857144,20.433333333333334,25.1,18.7,18.1375,87.0,12.5,3.9416666666666664
2008-12-28,0.8,1513.8785714285714,21.875,27.2,19.1,18.075,80.66666666666667,11.8,3.3083333333333336
